burn	site	block	spp	Ht (cm)	BD (cm)	DBH (cm)
TC	4	14	WS			
TC	8	8	WS	28	0.69	
TC	8	9	WS	54	1.00	
TC	8	10	WS	66	0.98	
TC	8	11	WS	49	0.88	
TC	8	12	WS	83	1.58	
TC	8	13	WS	48	0.61	
TC	8	14	WS	36	0.70	
TC	10	8	WS			
TC	10	9	WS			
TC	10	10	WS			
TC	10	11	WS			
TC	10	12	WS	49	0.97	
TC	10	13	WS			
TC	10	14	WS	33	0.71	
TC	13	8	WS			
TC	13	9	WS			
TC	13	10	WS			
TC	13	11	WS	28	0.64	
TC	13	12	WS	11	0.51	
TC	13	13	WS	39	0.74	
TC	13	14	WS	31	0.51	
TC	14	8	WS	51	0.95	
TC	14	9	WS	95	1.25	
TC	14	10	WS	34	0.64	
TC	14	11	WS	88	1.35	
TC	14	12	WS	76	1.49	
TC	14	13	WS	55	1.50	
TC	14	14	WS	9	0.39	
TC	19	8	WS	48	1.00	
TC	19	9	WS	101	1.52	
TC	19	10	WS	36	1.01	
TC	19	11	WS	51	1.05	
TC	19	12	WS	14	0.58	
TC	19	13	WS	55	1.28	
TC	19	14	WS	48	1.19	
TC	23	8	WS	73	1.69	
TC	23	9	WS	22	0.74	
TC	23	10	WS	117	3.20	
TC	23	11	WS	23	0.64	
TC	23	12	WS	71	1.39	
TC	23	13	WS	108	1.74	
TC	23	14	WS			
TC	24	8	WS			
TC	24	9	WS			
TC	24	10	WS	77	1.91	
TC	24	11	WS	92	2.28	
TC	24	12	WS	13	0.37	
TC	24	13	WS	35	0.73	
TC	24	14	WS	76	1.19	
TC	25	8	WS			
TC	25	9	WS			
TC	25	10	WS			
TC	25	11	WS	22	0.53	
TC	25	12	WS	34	0.54	
TC	25	13	WS	10	0.28	
TC	25	14	WS	73	1.11	
TC	26	8	WS			
TC	26	9	WS			
TC	26	10	WS			
TC	26	11	WS	27	0.67	
TC	26	12	WS	25	0.56	
TC	26	13	WS	98	1.83	
TC	26	14	WS	39	0.81	
TC	27	8	WS	46	0.95	
TC	27	9	WS	41	0.76	
TC	27	10	WS	70	1.20	
TC	27	11	WS	73	1.34	
TC	27	12	WS	18	0.31	
TC	27	13	WS	65	1.03	
TC	27	14	WS	41	1.14	
TC	29	8	WS			
TC	29	9	WS			
TC	29	10	WS			
TC	29	11	WS	61	1.36	
TC	29	12	WS	134	2.37	0.57
TC	29	13	WS	104	1.33	
TC	29	14	WS	59	1.46	
DC	30	8	WS	97	2.31	
DC	30	9	WS	148	2.51	0.56
DC	30	10	WS	94	1.86	
DC	30	11	WS	136	3.09	0.61
DC	30	12	WS	148	2.22	0.65
DC	30	13	WS	130	2.70	
DC	30	14	WS	135	3.12	
DC	31	8	WS	93	2.49	
DC	31	9	WS	129	2.00	
DC	31	10	WS	108	1.90	
DC	31	11	WS			
DC	31	12	WS	132	1.82	0.48
DC	31	13	WS	112	2.10	
DC	31	14	WS	127	2.66	
DC	34	8	WS			
DC	34	9	WS	24	0.73	
DC	34	10	WS	39	0.88	
DC	34	11	WS	40	0.99	
DC	34	12	WS	38	0.50	
DC	34	13	WS	31	0.86	
DC	34	14	WS			
DC	35	8	WS	50	0.86	
DC	35	9	WS	100	1.71	
DC	35	10	WS	118	1.83	
DC	35	11	WS	115	2.42	
DC	35	12	WS	73	1.60	
DC	35	13	WS	86	1.88	
DC	35	14	WS	88	0.82	
DC	37	8	WS	20	0.41	
DC	37	9	WS	45	0.74	
DC	37	10	WS	48	0.68	
DC	37	11	WS	25	0.47	
DC	37	12	WS	32	0.76	
DC	37	13	WS	73	1.04	
DC	37	14	WS	20	0.30	
DC	39	8	WS	128	2.05	
DC	39	9	WS	131	2.12	
DC	39	10	WS	79	1.30	
DC	39	11	WS			
DC	39	12	WS	91	1.67	
DC	39	13	WS			
DC	39	14	WS	51	0.90	
DC	40	8	WS	62	1.15	
DC	40	9	WS	26	0.60	
DC	40	10	WS	17	0.49	
DC	40	11	WS	33	0.79	
DC	40	12	WS	19	0.53	
DC	40	13	WS	20	0.40	
DC	40	14	WS	26	0.55	
DC	42	8	WS	23	0.58	
DC	42	9	WS			
DC	42	10	WS	44	0.80	
DC	42	11	WS	14	0.42	
DC	42	12	WS	20	0.46	
DC	42	13	WS	13	0.30	
DC	42	14	WS	47	0.98	
DC	44	8	WS	51	1.00	
DC	44	9	WS	27	0.48	
DC	44	10	WS	86	1.62	
DC	44	11	WS			
DC	44	12	WS			
DC	44	13	WS	33	0.81	
DC	44	14	WS	39	0.89	
DC	46	8	WS	86	1.60	
DC	46	9	WS	58	1.22	
DC	46	10	WS	105	1.76	
DC	46	11	WS	107	2.59	
DC	46	12	WS	26	0.65	
DC	46	13	WS	87	1.42	
DC	46	14	WS	74	1.22	
DC	49	8	WS			
DC	49	9	WS	93	1.74	
DC	49	10	WS	61	0.91	
DC	49	11	WS	91	1.73	
DC	49	12	WS	106	2.62	
DC	49	13	WS	77	1.24	
DC	49	14	WS	69	1.19	
DC	51	8	WS	85	1.76	
DC	51	9	WS	23	0.54	
DC	51	10	WS	42	1.00	
DC	51	11	WS	63	1.22	
DC	51	12	WS			
DC	51	13	WS	121	2.29	
DC	51	14	WS	69	1.42	
DC	53	8	WS			
DC	53	9	WS	103	1.40	
DC	53	10	WS	102	1.34	
DC	53	11	WS	138	2.11	0.58
DC	53	12	WS	96	0.89	
DC	53	13	WS	112	1.66	
DC	53	14	WS	93	0.60	
DC	54	8	WS			
DC	54	9	WS			
DC	54	10	WS			
DC	54	11	WS	67	1.09	
DC	54	12	WS			
DC	54	13	WS	41	0.90	
DC	54	14	WS			
BF		8	WS			
BF		9	WS			
BF		10	WS			
BF	61	11	WS	50	1.19	
BF	61	12	WS			
BF	61	13	WS	40	0.65	
BF	61	14	WS	83	1.39	
BF		8	WS			
BF		9	WS			
BF		10	WS			
BF	62	11	WS	36	0.77	
BF	62	12	WS			
BF	62	13	WS	46	0.82	
BF	62	14	WS	49	1.00	
BF		8	WS			
BF		9	WS			
BF		10	WS			
BF	63	11	WS	28	0.75	
BF	63	12	WS	56	1.00	
BF	63	13	WS			
BF	63	14	WS	63	1.02	
BF	76	8	WS			
BF	76	9	WS			
BF	76	10	WS			
BF	76	11	WS	198	2.24	1.07
BF	76	12	WS	134	1.71	0.26
BF	76	13	WS	97	1.30	
BF	76	14	WS			
BF	78	8	WS	15	0.41	
BF	78	9	WS			
BF	78	10	WS	44	0.78	
BF	78	11	WS	78	1.55	
BF	78	12	WS			
BF	78	13	WS	82	1.44	
BF	78	14	WS			
BF	79	8	WS			
BF	79	9	WS			
BF	79	10	WS			
BF	79	11	WS	106	1.31	
BF	79	12	WS	140	1.70	0.4
BF	79	13	WS	172	1.62	0.85
BF	79	14	WS	167	2.94	1.01
BF	81	8	WS			
BF	81	9	WS			
BF	81	10	WS			
BF	81	11	WS	89	1.17	
BF	81	12	WS	174	2.25	0.84
BF	81	13	WS	82	1.12	
BF	81	14	WS	78	1.24	
BF	84	8	WS			
BF	84	9	WS			
BF	84	10	WS			
BF	84	11	WS			
BF	84	12	WS			
BF	84	13	WS	80	1.17	
BF	84	14	WS			
BF	86	8	WS			
BF	86	9	WS			
BF	86	10	WS			
BF	86	11	WS	88	1.40	
BF	86	12	WS	63	0.88	
BF	86	13	WS	109	1.31	
BF	86	14	WS			
BF	87	8	WS			
BF	87	9	WS			
BF	87	10	WS			
BF	87	11	WS	90	0.88	
BF	87	12	WS	120	1.46	
BF	87	13	WS	68	0.92	
BF	87	14	WS	69	1.00	
BF	91	8	WS			
BF	91	9	WS	32	1.19	
BF	91	10	WS			
BF	91	11	WS			
BF	91	12	WS			
BF	91	13	WS	29	0.50	
BF	91	14	WS	27	0.59	
BF	92	8	WS			
BF	92	9	WS			
BF	92	10	WS			
BF	92	11	WS	74	1.79	
BF	92	12	WS	65	1.21	
